,id,city,ctripName,stars,strategymedal,goldmedal,silvermedal,price
1326,1541979,厦门,厦门月光岩花园别墅,0,0,1,0,150
1327,1542337,广州,广州美港酒店,0,0,1,0,275
1328,1542957,成都,S设计师酒店(成都太古里春熙路店),0,1,0,0,448
1329,1543516,三亚,三亚海怡静舍度假公寓,0,0,1,0,261
1330,1543847,上海,上海兴华宾馆,3,0,1,0,451
1331,1550056,上海,上海驿岛酒店,0,0,1,0,670
1332,1550374,广州,7天优品酒店(广州车陂地铁口店),0,0,1,0,314
1333,1551929,青岛,青岛恒星国际培训中心,0,0,1,0,306
1334,1562767,深圳,维也纳酒店(深圳龙东店),0,0,1,0,214
1335,1562870,广州,恒和精品酒店(广州新市百信广场店),0,0,1,0,179
1336,1562950,广州,广州都喜泰丽温泉度假酒店,0,0,1,0,6636
1337,1566078,成都,美华酒店(成都春熙路店),0,1,0,0,199
1338,1566390,广州,维也纳酒店(广州机场二店),0,0,1,0,263
1339,1567012,成都,汇景特色主题公寓(成都天府广场店),0,0,1,0,160
1340,1569806,杭州,如家快捷酒店(杭州西湖店),0,0,1,0,223
1341,1570321,成都,成都格莱斯美酒店,0,0,1,0,170
1342,1574276,杭州,杭州桂居游多多客栈,0,0,1,0,215
1343,1575123,厦门,艾思顿酒店(厦门火车站店),0,0,1,0,353
1344,1575864,广州,广州南璟酒店,0,0,1,0,239
1345,1577161,北京,时光漫步怀旧主题酒店(北京西单店),0,1,0,0,428
1346,1577227,杭州,杭州一色山墅,0,1,0,0,689
1347,1577930,北京,7天连锁酒店(北京肖村地铁站店),0,0,1,0,179
1348,1578547,深圳,7天优品酒店(深圳科技园高新园地铁站店),0,0,1,0,359
1349,1578931,上海,康铂酒店(上海自然博物馆店),0,0,1,0,420
1350,1579167,厦门,厦门栖岸风情海景客栈(原热带雨林客栈),0,0,1,0,156
1351,1580219,北京,7天连锁酒店(北京青年路地铁站大悦城店),0,0,1,0,241
1352,1580473,广州,广州广南酒店,0,0,1,0,99
1353,1581180,成都,成都大成宾馆(四川省人大会议中心),0,1,0,0,379
1354,1581597,上海,格林联盟(上海松江万达大学城地铁站店),0,0,1,0,325
1355,1581943,北京,7天连锁酒店(北京卢沟桥店),0,0,1,0,177
1356,1582870,成都,山水时尚酒店(成都九眼桥牛王庙地铁站店),0,0,1,0,192
1357,1582971,上海,莫泰168(上海莘庄工业区中春路南郊别墅店),0,0,1,0,170
1358,1583060,广州,怡莱酒店(广州市桥地铁站店),0,0,1,0,154
1359,1584063,上海,上海佘山金地岚韵酒店,0,0,1,0,832
1360,1584203,成都,成都天辰楼宾馆,0,1,0,0,366
1361,1584701,广州,麗枫酒店(广州天河公园员村地铁站店),0,1,0,0,457
1362,1585862,北京,速8酒店(北京黄村西大街地铁站店),0,0,1,0,153
1363,1593908,杭州,杭州澳迪斯大酒店,0,0,1,0,146
1364,1594347,成都,天合酒店(成都武侯大道地铁站店),0,0,1,0,105
1365,1594672,上海,如家快捷酒店(上海浦东川沙妙境路店),0,0,1,0,105
1366,1595731,广州,科尔酒店(广州江南西店),0,0,1,0,224
1367,1595773,深圳,深圳航城大酒店,0,1,0,0,168
1368,1595971,深圳,7天连锁酒店(深圳水贝地铁站店)(原泥岗东店),0,0,1,0,178
1369,1596001,深圳,维也纳酒店(深圳松岗立业路店),0,0,1,0,293
1370,1596160,深圳,维也纳酒店(深圳燕川店),0,0,1,0,301
1371,1596404,深圳,深圳新宝城大酒店,0,0,1,0,268
1372,1596451,深圳,7天优品酒店(深圳龙华地铁站店),0,0,1,0,198
1373,1596478,深圳,7天连锁酒店(深圳宝安宝立方店),0,0,1,0,177
1374,1596482,深圳,7天连锁酒店(深圳宝安汽车站海雅缤纷城店),0,0,1,0,180
1375,1596485,深圳,7天连锁酒店(深圳龙华店),0,0,1,0,189
